"","user","X1.x","category","task","use_plugin","cc","mi","lloc","halstead_difficulty","halstead_effort","X1.y","occupation","programming_experience","python_experience","task1","task2","task3","task4","task5","task6","task7","ide","other_tools","uses_plugin","task_experience","task_experience_between","task_experience_within","task_experience_btw","task_experience_wi"
"1","fd9d2d83c74acfbdeb44b35e7e0d1b1f",0,"task1","task1-1",1,6,81.6944218779114,17,0.5,2.37744375108173,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",TRUE,5,4.25,0.75,4.25,0.75
"2","fd9d2d83c74acfbdeb44b35e7e0d1b1f",1,"task1","task1-2",0,1,100,3,0.5,2.37744375108173,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",FALSE,5,4.25,0.75,4.25,0.75
"3","fd9d2d83c74acfbdeb44b35e7e0d1b1f",2,"task2","task2-1",0,3,85.6406599576921,11,1.5,29.4772266816048,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",FALSE,4,4.25,-0.25,4.25,-0.25
"4","fd9d2d83c74acfbdeb44b35e7e0d1b1f",3,"task2","task2-2",1,4,78.4719060225685,14,1.5,63,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",TRUE,4,4.25,-0.25,4.25,-0.25
"5","fd9d2d83c74acfbdeb44b35e7e0d1b1f",4,"task3","task3-1",0,6,81.9121671148919,19,1.42857142857143,67.926964316621,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",FALSE,4,4.25,-0.25,4.25,-0.25
"6","fd9d2d83c74acfbdeb44b35e7e0d1b1f",5,"task3","task3-2",1,8,82.8850470095117,24,2.375,318.201955986082,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",TRUE,4,4.25,-0.25,4.25,-0.25
"7","fd9d2d83c74acfbdeb44b35e7e0d1b1f",6,"task6","task6-1",0,1,75.6308480280425,18,1.5,62.2697691354714,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",FALSE,4,4.25,-0.25,4.25,-0.25
"8","fd9d2d83c74acfbdeb44b35e7e0d1b1f",7,"task6","task6-2",1,2,82.8346944649355,12,0.5,12.6330971492592,22,"Researcher",5,5,5,4,4,3,3,4,4,"VS Code, PyCharm, Jupyter Notebook","No",TRUE,4,4.25,-0.25,4.25,-0.25
"9","9a6cfe2c7ca82dcb62772e83ed7327db",8,"task1","task1-1",1,3,100,9,0,0,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",TRUE,5,4,1,4,1
"10","9a6cfe2c7ca82dcb62772e83ed7327db",9,"task1","task1-2",0,1,98.539437201613,9,0.5,2.37744375108173,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",FALSE,5,4,1,4,1
"11","9a6cfe2c7ca82dcb62772e83ed7327db",10,"task2","task2-1",1,1,100,4,0.5,1,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",TRUE,3,4,-1,4,-1
"12","9a6cfe2c7ca82dcb62772e83ed7327db",11,"task2","task2-2",0,8,55.7055410359072,23,3.33333333333333,283.700378390817,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",FALSE,3,4,-1,4,-1
"13","9a6cfe2c7ca82dcb62772e83ed7327db",12,"task6","task6-1",0,3,70.5178283990291,33,4.43333333333333,1316.42886549444,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",FALSE,4,4,0,4,0
"14","9a6cfe2c7ca82dcb62772e83ed7327db",13,"task6","task6-2",1,2,75.476884708979,26,0.5,2.37744375108173,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",TRUE,4,4,0,4,0
"15","9a6cfe2c7ca82dcb62772e83ed7327db",14,"task7","task7-1",1,1,100,14,0,0,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",TRUE,4,4,0,4,0
"16","9a6cfe2c7ca82dcb62772e83ed7327db",15,"task7","task7-2",0,8,42.2264334822725,63,2.8695652173913,890.22240922707,34,"Software Engineer",4,4,5,3,3,1,1,4,4,"VS Code, Jupyter Notebook, Colab Notebook","No",FALSE,4,4,0,4,0
"33","9dd43727b9246d7f2220b94ff43380cf",24,"task1","task1-1",1,5,100,22,0,0,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",TRUE,5,3.25,1.75,3.25,1.75
"34","9dd43727b9246d7f2220b94ff43380cf",25,"task1","task1-2",0,1,100,8,0.5,2.37744375108173,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",FALSE,5,3.25,1.75,3.25,1.75
"35","9dd43727b9246d7f2220b94ff43380cf",26,"task2","task2-1",0,5,86.1806447446564,13,0.5,2.37744375108173,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",FALSE,2,3.25,-1.25,3.25,-1.25
"36","9dd43727b9246d7f2220b94ff43380cf",27,"task2","task2-2",1,6,88.2576206560209,19,1,53.7744375108174,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",TRUE,2,3.25,-1.25,3.25,-1.25
"37","9dd43727b9246d7f2220b94ff43380cf",28,"task3","task3-1",0,5,73.6606162100188,29,0.5,2.37744375108173,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",FALSE,3,3.25,-0.25,3.25,-0.25
"38","9dd43727b9246d7f2220b94ff43380cf",29,"task3","task3-2",1,4,87.6953144613256,31,1.33333333333333,18.5754247590989,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",TRUE,3,3.25,-0.25,3.25,-0.25
"39","9dd43727b9246d7f2220b94ff43380cf",30,"task5","task5-1",1,12,40.0296894490945,70,3.671875,1415.50615669199,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",TRUE,3,3.25,-0.25,3.25,-0.25
"40","9dd43727b9246d7f2220b94ff43380cf",31,"task5","task5-2",0,18,62.6347611295122,61,3.4,3425.49749287515,21,"Software Engineer",4,3,5,2,3,1,3,1,2,"PyCharm, Jupyter Notebook, Sublime Text, Notepad++","No",FALSE,3,3.25,-0.25,3.25,-0.25
"41","e78bbc00ea23e3688e035426717b63ac",40,"task1","task1-1",1,9,77.9910152993471,35,1.5,105.48604608143,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",TRUE,5,4.25,0.75,4.25,0.75
"42","e78bbc00ea23e3688e035426717b63ac",41,"task1","task1-2",0,1,98.177570011049,8,0.5,19.0195500086539,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",FALSE,5,4.25,0.75,4.25,0.75
"43","e78bbc00ea23e3688e035426717b63ac",42,"task2","task2-1",1,4,87.9254855610437,15,1.2,30.3194331582221,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",TRUE,4,4.25,-0.25,4.25,-0.25
"44","e78bbc00ea23e3688e035426717b63ac",43,"task2","task2-2",0,7,80.2282416585539,26,1.125,52.320367494476,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",FALSE,4,4.25,-0.25,4.25,-0.25
"45","e78bbc00ea23e3688e035426717b63ac",44,"task4","task4-1",1,10,72.9691308396721,29,1.7,177.221812561298,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",TRUE,4,4.25,-0.25,4.25,-0.25
"46","e78bbc00ea23e3688e035426717b63ac",45,"task4","task4-2",0,14,62.6523576486911,62,3.2,932.732351064494,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",FALSE,4,4.25,-0.25,4.25,-0.25
"47","e78bbc00ea23e3688e035426717b63ac",46,"task6","task6-1",1,29,44.2464492713731,132,8.88118811881188,12561.6255934663,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",TRUE,4,4.25,-0.25,4.25,-0.25
"48","e78bbc00ea23e3688e035426717b63ac",47,"task6","task6-2",0,2,89.4356409999019,17,0.5,12.6330971492592,37,"Assistant Manager (programming is a hobby)",3,4,5,4,2,4,2,4,4,"PyCharm","No",FALSE,4,4.25,-0.25,4.25,-0.25
"49","0a13493c5f0f9f75a9fa6a576a14984b",48,"task1","task1-1",0,11,57.4108295297718,49,1.63636363636364,112.143908613333,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",FALSE,4,3.5,0.5,3.5,0.5
"50","0a13493c5f0f9f75a9fa6a576a14984b",49,"task1","task1-2",1,1,94.9796685865232,8,0.5,2.37744375108173,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",TRUE,4,3.5,0.5,3.5,0.5
"51","0a13493c5f0f9f75a9fa6a576a14984b",50,"task2","task2-1",0,3,71.2220452402362,16,0.5,1,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",FALSE,4,3.5,0.5,3.5,0.5
"52","0a13493c5f0f9f75a9fa6a576a14984b",51,"task2","task2-2",1,26,44.3265742897635,112,4.296875,1969.82455387845,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",TRUE,4,3.5,0.5,3.5,0.5
"53","0a13493c5f0f9f75a9fa6a576a14984b",52,"task3","task3-1",0,8,61.5435658297011,38,1.33333333333333,83.0263588472951,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",FALSE,3,3.5,-0.5,3.5,-0.5
"54","0a13493c5f0f9f75a9fa6a576a14984b",53,"task3","task3-2",1,11,55.9411337030596,51,1.60714285714286,157.659281019656,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",TRUE,3,3.5,-0.5,3.5,-0.5
"55","0a13493c5f0f9f75a9fa6a576a14984b",54,"task7","task7-1",0,1,100,16,0,0,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",FALSE,3,3.5,-0.5,3.5,-0.5
"56","0a13493c5f0f9f75a9fa6a576a14984b",55,"task7","task7-2",1,1,62.6843564331054,92,0.75,361.634760311721,58,"Software Engineer",4,4,4,4,3,1,1,1,3,"Jupyter Notebook, Notepad ++","No",TRUE,3,3.5,-0.5,3.5,-0.5
"57","a061d03ba2e23bf8f3861f78d7d62248",56,"task1","task1-1",1,6,90.4551161554955,10,0.5,2.37744375108173,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",TRUE,5,4,1,4,1
"58","a061d03ba2e23bf8f3861f78d7d62248",57,"task1","task1-2",0,1,100,2,1.14285714285714,43.4732571626374,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",FALSE,5,4,1,4,1
"59","a061d03ba2e23bf8f3861f78d7d62248",58,"task2","task2-1",1,2,96.8610036046324,7,1,8,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",TRUE,3,4,-1,4,-1
"60","a061d03ba2e23bf8f3861f78d7d62248",59,"task2","task2-2",0,4,81.8276157374001,14,0.5,6.96578428466209,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",FALSE,3,4,-1,4,-1
"61","a061d03ba2e23bf8f3861f78d7d62248",60,"task3","task3-1",0,3,86.5041439650442,17,1,8,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",FALSE,3,4,-1,4,-1
"62","a061d03ba2e23bf8f3861f78d7d62248",61,"task3","task3-2",1,11,58.1885456359324,40,3.16666666666667,410.583169014299,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",TRUE,3,4,-1,4,-1
"63","a061d03ba2e23bf8f3861f78d7d62248",62,"task6","task6-1",0,1,66.4402079232984,25,3.52941176470588,478.965383582507,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",FALSE,5,4,1,4,1
"64","a061d03ba2e23bf8f3861f78d7d62248",63,"task6","task6-2",1,2,91.8764491601636,14,0.5,2.37744375108173,17,"Researcher",5,4,5,3,3,3,2,5,3,"Vim, Jupyter Notebook","No",TRUE,5,4,1,4,1
"65","4d52cf690a039273baca11d5bf55f0a7",64,"task1","task1-1",1,4,79.408158579859,20,0.5,2.37744375108173,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",TRUE,5,4,1,4,1
"66","4d52cf690a039273baca11d5bf55f0a7",65,"task1","task1-2",0,1,100,3,0.5,2.37744375108173,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",FALSE,5,4,1,4,1
"67","4d52cf690a039273baca11d5bf55f0a7",66,"task2","task2-1",0,2,93.6266567711644,10,0.5,1,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",FALSE,4,4,0,4,0
"68","4d52cf690a039273baca11d5bf55f0a7",67,"task2","task2-2",1,4,77.2598447511989,23,0.5,2.37744375108173,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",TRUE,4,4,0,4,0
"69","4d52cf690a039273baca11d5bf55f0a7",68,"task3","task3-1",1,3,71.3461922726358,35,0.5,2.37744375108173,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",TRUE,4,4,0,4,0
"70","4d52cf690a039273baca11d5bf55f0a7",69,"task3","task3-2",0,5,79.6139872446148,26,0.5,2.37744375108173,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",FALSE,4,4,0,4,0
"71","4d52cf690a039273baca11d5bf55f0a7",70,"task5","task5-1",0,5,66.6511897707274,28,1.5,75.2842125151443,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",FALSE,3,4,-1,4,-1
"72","4d52cf690a039273baca11d5bf55f0a7",71,"task5","task5-2",1,17,42.6722086588477,93,4,1661.9541138581,24,"Software Engineer",3,4,5,4,4,2,3,3,3,"Vim, Jupyter Notebook","black, flake8, pylint, mypy, vim-surround, vim-unimpaired",TRUE,3,4,-1,4,-1
"73","638965bbb0d66a5b0eae27d1324bbf89",72,"task1","task1-1",0,6,81.4049496836252,17,1,27,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",FALSE,5,3.75,1.25,3.75,1.25
"74","638965bbb0d66a5b0eae27d1324bbf89",73,"task1","task1-2",1,1,81.99083716851,4,0.5,2.37744375108173,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",TRUE,5,3.75,1.25,3.75,1.25
"75","638965bbb0d66a5b0eae27d1324bbf89",74,"task2","task2-1",1,2,72.5751466183647,8,1,11.6096404744368,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",TRUE,4,3.75,0.25,3.75,0.25
"76","638965bbb0d66a5b0eae27d1324bbf89",75,"task2","task2-2",0,5,100,15,0,0,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",FALSE,4,3.75,0.25,3.75,0.25
"77","638965bbb0d66a5b0eae27d1324bbf89",76,"task3","task3-1",0,8,81.8440073924475,26,0.5,1,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",FALSE,2,3.75,-1.75,3.75,-1.75
"78","638965bbb0d66a5b0eae27d1324bbf89",77,"task3","task3-2",1,7,77.4412971870153,24,0.5,19.0195500086539,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",TRUE,2,3.75,-1.75,3.75,-1.75
"79","638965bbb0d66a5b0eae27d1324bbf89",78,"task5","task5-1",0,4,77.6064996275579,31,1.5,54.8118135656415,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",FALSE,4,3.75,0.25,3.75,0.25
"80","638965bbb0d66a5b0eae27d1324bbf89",79,"task5","task5-2",1,9,53.0194145875943,58,1.6530612244898,763.277244708647,25,"Student (computer science)",3,3,5,4,2,1,4,2,2,"PyCharm, Atom","No",TRUE,4,3.75,0.25,3.75,0.25
"81","cbfad61871126c1cc4c85d8bdb7fdddf",80,"task1","task1-1",1,6,86.1539642137033,15,1,11.6096404744368,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",TRUE,4,3.75,0.25,3.75,0.25
"82","cbfad61871126c1cc4c85d8bdb7fdddf",81,"task1","task1-2",0,1,88.5574946685516,2,0.5,2.37744375108173,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",FALSE,4,3.75,0.25,3.75,0.25
"83","cbfad61871126c1cc4c85d8bdb7fdddf",82,"task2","task2-1",1,3,69.4237136101073,11,1,11.6096404744368,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",TRUE,4,3.75,0.25,3.75,0.25
"84","cbfad61871126c1cc4c85d8bdb7fdddf",83,"task2","task2-2",0,6,61.8603888321264,16,2,76.1074956100205,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",FALSE,4,3.75,0.25,3.75,0.25
"85","cbfad61871126c1cc4c85d8bdb7fdddf",84,"task3","task3-1",1,10,61.8353593939619,32,1.5,193.985275410722,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",TRUE,3,3.75,-0.75,3.75,-0.75
"86","cbfad61871126c1cc4c85d8bdb7fdddf",85,"task3","task3-2",0,9,50.3930498149413,34,2.94117647058824,406.59523581693,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",FALSE,3,3.75,-0.75,3.75,-0.75
"87","cbfad61871126c1cc4c85d8bdb7fdddf",86,"task4","task4-1",0,7,55.5203586377003,26,1.2,77.435190015577,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",FALSE,4,3.75,0.25,3.75,0.25
"88","cbfad61871126c1cc4c85d8bdb7fdddf",87,"task4","task4-2",1,9,51.2393846679748,38,2.88888888888889,213.803183714819,30,"IT manager, F&B industry",3,3,4,4,3,4,3,3,3,"PyCharm","Don't use plugins",TRUE,4,3.75,0.25,3.75,0.25
"97","2e3e8fa9d9f7b9fed260130d754b6308",96,"task1","task1-1",1,5,78.2336343601484,17,1,15.5097750043269,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",TRUE,5,4,1,4,1
"98","2e3e8fa9d9f7b9fed260130d754b6308",97,"task1","task1-2",0,3,78.4226436001715,13,1.8,119.894246867771,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",FALSE,5,4,1,4,1
"99","2e3e8fa9d9f7b9fed260130d754b6308",98,"task2","task2-1",1,3,83.7351204664825,13,1,11.6096404744368,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",TRUE,4,4,0,4,0
"100","2e3e8fa9d9f7b9fed260130d754b6308",99,"task2","task2-2",0,3,80.7774358268685,12,1.42857142857143,67.926964316621,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",FALSE,4,4,0,4,0
"101","2e3e8fa9d9f7b9fed260130d754b6308",100,"task6","task6-1",0,1,80.7814935383173,15,1,15.5097750043269,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",FALSE,3,4,-1,4,-1
"102","2e3e8fa9d9f7b9fed260130d754b6308",101,"task6","task6-2",1,2,80.1631009009574,19,0.5,2.37744375108173,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",TRUE,3,4,-1,4,-1
"103","2e3e8fa9d9f7b9fed260130d754b6308",102,"task7","task7-1",0,1,100,11,0,0,28,"Student (computer science)",3,4,5,4,2,2,2,3,4,"Jupyter Notebook","I don't use any assistive tools",FALSE,4,4,0,4,0
