,user,task,total_query_count,generation_count,retrieval_count
0,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-1,1,0,1
1,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-2,3,2,1
2,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task2-1,1,1,0
3,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task2-2,0,0,0
4,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-1,2,2,0
5,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-2,0,0,0
6,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,15,3,12
7,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-2,3,0,3
8,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,7,2,5
9,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,9,2,7
10,c4196119198c1bd6dce9ad020501698d,task1-1,4,3,1
11,c4196119198c1bd6dce9ad020501698d,task1-2,0,0,0
12,c4196119198c1bd6dce9ad020501698d,task2-1,0,0,0
13,c4196119198c1bd6dce9ad020501698d,task2-2,6,2,4
14,2ceafaf6a21d6cb6495038b38ab72061,task1-1,0,0,0
15,2ceafaf6a21d6cb6495038b38ab72061,task1-2,3,2,1
16,2ceafaf6a21d6cb6495038b38ab72061,task2-1,3,0,3
17,2ceafaf6a21d6cb6495038b38ab72061,task2-2,2,1,1
18,2ceafaf6a21d6cb6495038b38ab72061,task3-1,3,1,2
19,2ceafaf6a21d6cb6495038b38ab72061,task3-2,0,0,0
20,2ceafaf6a21d6cb6495038b38ab72061,task6-1,11,5,6
21,2ceafaf6a21d6cb6495038b38ab72061,task6-2,3,0,3
22,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-1,0,0,0
23,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,4,2,2
24,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-1,0,0,0
25,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-2,2,1,1
26,67e86a0cb1f9b6cae0e8d6c4b24711de,task3-1,0,0,0
27,67e86a0cb1f9b6cae0e8d6c4b24711de,task3-2,0,0,0
28,67e86a0cb1f9b6cae0e8d6c4b24711de,task6-1,0,0,0
29,67e86a0cb1f9b6cae0e8d6c4b24711de,task6-2,0,0,0
30,34b1ef17e6625ba2350f6f1c169591a1,task1-1,8,2,6
31,34b1ef17e6625ba2350f6f1c169591a1,task1-2,0,0,0
32,34b1ef17e6625ba2350f6f1c169591a1,task2-1,0,0,0
33,34b1ef17e6625ba2350f6f1c169591a1,task2-2,5,3,2
34,34b1ef17e6625ba2350f6f1c169591a1,task6-1,13,7,6
35,34b1ef17e6625ba2350f6f1c169591a1,task6-2,0,0,0
36,34b1ef17e6625ba2350f6f1c169591a1,task7-1,0,0,0
37,34b1ef17e6625ba2350f6f1c169591a1,task7-2,5,2,3
38,138ca13c6ba8814e8e4aea9853d66b69,task1-1,3,1,2
39,138ca13c6ba8814e8e4aea9853d66b69,task1-2,0,0,0
40,138ca13c6ba8814e8e4aea9853d66b69,task2-1,0,0,0
41,138ca13c6ba8814e8e4aea9853d66b69,task2-2,3,3,0
42,79c72fefe0d6c99e61fd23d297db9f10,task1-1,0,0,0
43,79c72fefe0d6c99e61fd23d297db9f10,task1-2,0,0,0
44,79c72fefe0d6c99e61fd23d297db9f10,task2-1,0,0,0
45,79c72fefe0d6c99e61fd23d297db9f10,task2-2,0,0,0
46,79c72fefe0d6c99e61fd23d297db9f10,task6-1,0,0,0
47,79c72fefe0d6c99e61fd23d297db9f10,task6-2,0,0,0
48,79c72fefe0d6c99e61fd23d297db9f10,task7-1,0,0,0
49,79c72fefe0d6c99e61fd23d297db9f10,task7-2,0,0,0
50,2350ca5cc5bf54fca0b2499ae103d8b1,task1-1,0,0,0
51,2350ca5cc5bf54fca0b2499ae103d8b1,task1-2,0,0,0
52,2350ca5cc5bf54fca0b2499ae103d8b1,task2-1,0,0,0
53,2350ca5cc5bf54fca0b2499ae103d8b1,task2-2,1,0,1
54,2350ca5cc5bf54fca0b2499ae103d8b1,task3-1,0,0,0
55,2350ca5cc5bf54fca0b2499ae103d8b1,task3-2,0,0,0
56,2350ca5cc5bf54fca0b2499ae103d8b1,task6-1,0,0,0
57,2350ca5cc5bf54fca0b2499ae103d8b1,task6-2,1,0,1
58,844088c7077d499fa3533250ae504e7f,task1-1,3,0,3
59,844088c7077d499fa3533250ae504e7f,task1-2,4,0,4
60,844088c7077d499fa3533250ae504e7f,task2-1,2,0,2
61,844088c7077d499fa3533250ae504e7f,task2-2,5,1,4
62,844088c7077d499fa3533250ae504e7f,task3-1,0,0,0
63,844088c7077d499fa3533250ae504e7f,task3-2,0,0,0
64,844088c7077d499fa3533250ae504e7f,task4-1,0,0,0
65,844088c7077d499fa3533250ae504e7f,task4-2,0,0,0
66,3d15fb351f9dfabd41e2b2fb142dad71,task1-1,0,0,0
67,3d15fb351f9dfabd41e2b2fb142dad71,task1-2,3,2,1
68,3d15fb351f9dfabd41e2b2fb142dad71,task2-1,0,0,0
69,a061d03ba2e23bf8f3861f78d7d62248,task1-1,2,2,0
70,a061d03ba2e23bf8f3861f78d7d62248,task1-2,0,0,0
71,a061d03ba2e23bf8f3861f78d7d62248,task2-1,4,3,1
72,a061d03ba2e23bf8f3861f78d7d62248,task2-2,0,0,0
73,a061d03ba2e23bf8f3861f78d7d62248,task3-1,0,0,0
74,a061d03ba2e23bf8f3861f78d7d62248,task3-2,3,1,2
75,a061d03ba2e23bf8f3861f78d7d62248,task6-1,0,0,0
76,a061d03ba2e23bf8f3861f78d7d62248,task6-2,2,1,1
77,eb8c0b297db7d9e210c3b804373339a2,task1-1,0,0,0
78,eb8c0b297db7d9e210c3b804373339a2,task1-2,0,0,0
79,eb8c0b297db7d9e210c3b804373339a2,task2-1,4,3,1
80,eb8c0b297db7d9e210c3b804373339a2,task2-2,0,0,0
81,eb8c0b297db7d9e210c3b804373339a2,task6-1,0,0,0
82,eb8c0b297db7d9e210c3b804373339a2,task6-2,0,0,0
83,eb8c0b297db7d9e210c3b804373339a2,task7-1,0,0,0
84,eb8c0b297db7d9e210c3b804373339a2,task7-2,3,1,2
85,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,5,1,4
86,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-2,0,0,0
87,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task2-1,0,0,0
88,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task2-2,0,0,0
89,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3-1,0,0,0
90,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3-2,2,0,2
91,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task6-1,0,0,0
92,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task6-2,0,0,0
93,9dd43727b9246d7f2220b94ff43380cf,task1-1,0,0,0
94,9dd43727b9246d7f2220b94ff43380cf,task1-2,0,0,0
95,9dd43727b9246d7f2220b94ff43380cf,task2-1,0,0,0
96,9dd43727b9246d7f2220b94ff43380cf,task2-2,7,4,3
97,9dd43727b9246d7f2220b94ff43380cf,task3-1,0,0,0
98,9dd43727b9246d7f2220b94ff43380cf,task3-2,4,1,3
99,9dd43727b9246d7f2220b94ff43380cf,task5-1,2,1,1
100,9dd43727b9246d7f2220b94ff43380cf,task5-2,0,0,0
101,4d52cf690a039273baca11d5bf55f0a7,task1-1,5,4,1
102,4d52cf690a039273baca11d5bf55f0a7,task1-2,0,0,0
103,4d52cf690a039273baca11d5bf55f0a7,task2-1,0,0,0
104,4d52cf690a039273baca11d5bf55f0a7,task2-2,3,1,2
105,4d52cf690a039273baca11d5bf55f0a7,task3-1,11,6,5
106,4d52cf690a039273baca11d5bf55f0a7,task3-2,0,0,0
107,4d52cf690a039273baca11d5bf55f0a7,task5-1,0,0,0
108,4d52cf690a039273baca11d5bf55f0a7,task5-2,2,0,2
109,638965bbb0d66a5b0eae27d1324bbf89,task1-1,0,0,0
110,638965bbb0d66a5b0eae27d1324bbf89,task1-2,5,5,0
111,638965bbb0d66a5b0eae27d1324bbf89,task2-1,5,3,2
112,638965bbb0d66a5b0eae27d1324bbf89,task2-2,0,0,0
113,638965bbb0d66a5b0eae27d1324bbf89,task3-1,0,0,0
114,638965bbb0d66a5b0eae27d1324bbf89,task3-2,3,3,0
115,638965bbb0d66a5b0eae27d1324bbf89,task5-1,0,0,0
116,638965bbb0d66a5b0eae27d1324bbf89,task5-2,3,3,0
117,9337deccd10c36bab2411e51e60984bc,task1-1,0,0,0
118,9337deccd10c36bab2411e51e60984bc,task1-2,1,1,0
119,9337deccd10c36bab2411e51e60984bc,task2-1,1,1,0
120,9337deccd10c36bab2411e51e60984bc,task2-2,0,0,0
121,9337deccd10c36bab2411e51e60984bc,task3-1,1,0,1
122,9337deccd10c36bab2411e51e60984bc,task3-2,0,0,0
123,9337deccd10c36bab2411e51e60984bc,task7-1,0,0,0
124,9337deccd10c36bab2411e51e60984bc,task7-2,0,0,0
125,cfa58675a463c1db741cb420355989fb,task1-1,0,0,0
126,cfa58675a463c1db741cb420355989fb,task1-2,0,0,0
127,cfa58675a463c1db741cb420355989fb,task2-1,0,0,0
128,cfa58675a463c1db741cb420355989fb,task2-2,0,0,0
129,cfa58675a463c1db741cb420355989fb,task3-1,0,0,0
130,cfa58675a463c1db741cb420355989fb,task3-2,0,0,0
131,cfa58675a463c1db741cb420355989fb,task5-1,0,0,0
132,cfa58675a463c1db741cb420355989fb,task5-2,0,0,0
133,2e3e8fa9d9f7b9fed260130d754b6308,task1-1,0,0,0
134,2e3e8fa9d9f7b9fed260130d754b6308,task1-2,0,0,0
135,2e3e8fa9d9f7b9fed260130d754b6308,task2-1,0,0,0
136,2e3e8fa9d9f7b9fed260130d754b6308,task2-2,0,0,0
137,2e3e8fa9d9f7b9fed260130d754b6308,task6-1,0,0,0
138,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,6,0,6
139,2e3e8fa9d9f7b9fed260130d754b6308,task7-1,0,0,0
140,2e3e8fa9d9f7b9fed260130d754b6308,task7-2,0,0,0
141,cbfad61871126c1cc4c85d8bdb7fdddf,task1-1,2,2,0
142,cbfad61871126c1cc4c85d8bdb7fdddf,task1-2,0,0,0
143,cbfad61871126c1cc4c85d8bdb7fdddf,task2-1,2,1,1
144,cbfad61871126c1cc4c85d8bdb7fdddf,task2-2,0,0,0
145,cbfad61871126c1cc4c85d8bdb7fdddf,task3-1,2,0,2
146,cbfad61871126c1cc4c85d8bdb7fdddf,task3-2,0,0,0
147,cbfad61871126c1cc4c85d8bdb7fdddf,task4-1,0,0,0
148,cbfad61871126c1cc4c85d8bdb7fdddf,task4-2,1,0,1
149,683b2c2610686fd34440a75e770114ed,task1-1,0,0,0
150,683b2c2610686fd34440a75e770114ed,task1-2,0,0,0
151,683b2c2610686fd34440a75e770114ed,task2-1,0,0,0
152,683b2c2610686fd34440a75e770114ed,task2-2,0,0,0
153,683b2c2610686fd34440a75e770114ed,task6-1,0,0,0
154,683b2c2610686fd34440a75e770114ed,task6-2,0,0,0
155,683b2c2610686fd34440a75e770114ed,task7-1,0,0,0
156,683b2c2610686fd34440a75e770114ed,task7-2,0,0,0
157,3290155d5f39c2cece41ce216eecac62,task1-1,0,0,0
158,3290155d5f39c2cece41ce216eecac62,task1-2,2,0,2
159,3290155d5f39c2cece41ce216eecac62,task2-1,6,0,6
160,3290155d5f39c2cece41ce216eecac62,task2-2,0,0,0
161,3290155d5f39c2cece41ce216eecac62,task3-1,0,0,0
162,3290155d5f39c2cece41ce216eecac62,task3-2,0,0,0
163,3290155d5f39c2cece41ce216eecac62,task6-1,3,0,3
164,3290155d5f39c2cece41ce216eecac62,task6-2,0,0,0
165,baff2a3b41189071a80cebf6fdc239e3,task1-1,0,0,0
166,baff2a3b41189071a80cebf6fdc239e3,task1-2,3,2,1
167,baff2a3b41189071a80cebf6fdc239e3,task2-1,0,0,0
168,baff2a3b41189071a80cebf6fdc239e3,task2-2,1,1,0
169,baff2a3b41189071a80cebf6fdc239e3,task3-1,0,0,0
170,baff2a3b41189071a80cebf6fdc239e3,task3-2,0,0,0
171,baff2a3b41189071a80cebf6fdc239e3,task6-1,0,0,0
172,baff2a3b41189071a80cebf6fdc239e3,task6-2,0,0,0
173,eb54774fe018001b25b8c31133f13bc9,task1-1,3,2,1
174,eb54774fe018001b25b8c31133f13bc9,task1-2,0,0,0
175,eb54774fe018001b25b8c31133f13bc9,task2-1,0,0,0
176,eb54774fe018001b25b8c31133f13bc9,task2-2,6,2,4
177,eb54774fe018001b25b8c31133f13bc9,task6-1,0,0,0
178,eb54774fe018001b25b8c31133f13bc9,task6-2,2,0,2
179,eb54774fe018001b25b8c31133f13bc9,task7-1,0,0,0
180,eb54774fe018001b25b8c31133f13bc9,task7-2,4,1,3
181,9a6cfe2c7ca82dcb62772e83ed7327db,task1-1,3,0,3
182,9a6cfe2c7ca82dcb62772e83ed7327db,task1-2,0,0,0
183,9a6cfe2c7ca82dcb62772e83ed7327db,task2-1,3,0,3
184,9a6cfe2c7ca82dcb62772e83ed7327db,task2-2,0,0,0
185,9a6cfe2c7ca82dcb62772e83ed7327db,task6-1,0,0,0
186,9a6cfe2c7ca82dcb62772e83ed7327db,task6-2,0,0,0
187,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,5,1,4
188,9a6cfe2c7ca82dcb62772e83ed7327db,task7-2,0,0,0
189,088b7132e94876741b7b7040fdbecbf2,task1-1,0,0,0
190,088b7132e94876741b7b7040fdbecbf2,task1-2,0,0,0
191,088b7132e94876741b7b7040fdbecbf2,task2-1,0,0,0
192,088b7132e94876741b7b7040fdbecbf2,task2-2,0,0,0
193,088b7132e94876741b7b7040fdbecbf2,task3-1,0,0,0
194,088b7132e94876741b7b7040fdbecbf2,task3-2,0,0,0
195,088b7132e94876741b7b7040fdbecbf2,task5-1,0,0,0
196,088b7132e94876741b7b7040fdbecbf2,task5-2,0,0,0
197,e88d1e36c4db7410802b3fda6db81d38,task1-1,5,2,3
198,e88d1e36c4db7410802b3fda6db81d38,task1-2,0,0,0
199,e88d1e36c4db7410802b3fda6db81d38,task2-1,3,2,1
200,e88d1e36c4db7410802b3fda6db81d38,task2-2,0,0,0
201,e88d1e36c4db7410802b3fda6db81d38,task3-1,4,1,3
202,e88d1e36c4db7410802b3fda6db81d38,task3-2,0,0,0
203,e88d1e36c4db7410802b3fda6db81d38,task4-1,0,0,0
204,e88d1e36c4db7410802b3fda6db81d38,task4-2,5,3,2
205,e78bbc00ea23e3688e035426717b63ac,task1-1,6,4,2
206,e78bbc00ea23e3688e035426717b63ac,task1-2,0,0,0
207,e78bbc00ea23e3688e035426717b63ac,task2-1,0,0,0
208,e78bbc00ea23e3688e035426717b63ac,task2-2,0,0,0
209,e78bbc00ea23e3688e035426717b63ac,task4-1,1,0,1
210,e78bbc00ea23e3688e035426717b63ac,task4-2,0,0,0
211,e78bbc00ea23e3688e035426717b63ac,task6-1,3,2,1
212,e78bbc00ea23e3688e035426717b63ac,task6-2,0,0,0
213,78fdf1eb2c65019c0305daef9c7e713d,task1-1,0,0,0
214,78fdf1eb2c65019c0305daef9c7e713d,task1-2,0,0,0
215,78fdf1eb2c65019c0305daef9c7e713d,task2-1,0,0,0
216,78fdf1eb2c65019c0305daef9c7e713d,task2-2,1,0,1
217,78fdf1eb2c65019c0305daef9c7e713d,task3-1,1,0,1
218,78fdf1eb2c65019c0305daef9c7e713d,task3-2,0,0,0
219,78fdf1eb2c65019c0305daef9c7e713d,task4-1,0,0,0
220,78fdf1eb2c65019c0305daef9c7e713d,task4-2,1,0,1
221,10fb8132405b6c443addb06bc941f9e3,task1-1,0,0,0
222,10fb8132405b6c443addb06bc941f9e3,task1-2,1,0,1
223,10fb8132405b6c443addb06bc941f9e3,task2-1,0,0,0
224,10fb8132405b6c443addb06bc941f9e3,task2-2,0,0,0
225,10fb8132405b6c443addb06bc941f9e3,task3-1,0,0,0
226,10fb8132405b6c443addb06bc941f9e3,task3-2,0,0,0
227,10fb8132405b6c443addb06bc941f9e3,task5-1,0,0,0
228,10fb8132405b6c443addb06bc941f9e3,task5-2,2,1,1
229,197550e497841d3b70dc5b165b971809,task1-1,0,0,0
230,197550e497841d3b70dc5b165b971809,task1-2,0,0,0
231,197550e497841d3b70dc5b165b971809,task2-1,0,0,0
232,197550e497841d3b70dc5b165b971809,task2-2,0,0,0
233,197550e497841d3b70dc5b165b971809,task3-1,0,0,0
234,197550e497841d3b70dc5b165b971809,task3-2,0,0,0
235,197550e497841d3b70dc5b165b971809,task4-1,0,0,0
236,197550e497841d3b70dc5b165b971809,task4-2,0,0,0
237,4a76842f7d04ecfd0e6306f8edf479fe,task1-1,0,0,0
238,4a76842f7d04ecfd0e6306f8edf479fe,task1-2,0,0,0
239,4a76842f7d04ecfd0e6306f8edf479fe,task2-1,0,0,0
240,4a76842f7d04ecfd0e6306f8edf479fe,task2-2,0,0,0
241,4a76842f7d04ecfd0e6306f8edf479fe,task6-1,0,0,0
242,4a76842f7d04ecfd0e6306f8edf479fe,task6-2,0,0,0
243,4a76842f7d04ecfd0e6306f8edf479fe,task7-1,0,0,0
244,4a76842f7d04ecfd0e6306f8edf479fe,task7-2,0,0,0
245,7ff9938c47bd8fb571d43b13872e6182,task1-1,7,4,3
246,7ff9938c47bd8fb571d43b13872e6182,task1-2,0,0,0
247,7ff9938c47bd8fb571d43b13872e6182,task2-1,0,0,0
248,7ff9938c47bd8fb571d43b13872e6182,task2-2,0,0,0
249,7ff9938c47bd8fb571d43b13872e6182,task6-1,1,0,1
250,7ff9938c47bd8fb571d43b13872e6182,task6-2,0,0,0
251,7ff9938c47bd8fb571d43b13872e6182,task7-1,2,2,0
252,7ff9938c47bd8fb571d43b13872e6182,task7-2,0,0,0
253,3ea4c20bb9ca62fc4ae686a43df56a2c,task1-1,0,0,0
254,3ea4c20bb9ca62fc4ae686a43df56a2c,task1-2,0,0,0
255,3ea4c20bb9ca62fc4ae686a43df56a2c,task2-1,0,0,0
256,3ea4c20bb9ca62fc4ae686a43df56a2c,task2-2,0,0,0
257,3ea4c20bb9ca62fc4ae686a43df56a2c,task3-1,0,0,0
258,3ea4c20bb9ca62fc4ae686a43df56a2c,task3-2,0,0,0
259,3ea4c20bb9ca62fc4ae686a43df56a2c,task4-1,0,0,0
260,3ea4c20bb9ca62fc4ae686a43df56a2c,task4-2,0,0,0
261,2287fbb738654ee8436be1a74b1efab7,task1-1,0,0,0
262,2287fbb738654ee8436be1a74b1efab7,task1-2,5,2,3
263,2287fbb738654ee8436be1a74b1efab7,task2-1,5,1,4
264,2287fbb738654ee8436be1a74b1efab7,task2-2,0,0,0
265,2287fbb738654ee8436be1a74b1efab7,task3-1,6,2,4
266,2287fbb738654ee8436be1a74b1efab7,task3-2,0,0,0
267,2287fbb738654ee8436be1a74b1efab7,task5-1,0,0,0
268,2287fbb738654ee8436be1a74b1efab7,task5-2,0,0,0
269,15764ad439feafda6f35578b7f6253df,task1-1,0,0,0
270,15764ad439feafda6f35578b7f6253df,task1-2,3,2,1
271,15764ad439feafda6f35578b7f6253df,task2-1,0,0,0
272,15764ad439feafda6f35578b7f6253df,task2-2,3,2,1
273,15764ad439feafda6f35578b7f6253df,task4-1,0,0,0
274,15764ad439feafda6f35578b7f6253df,task4-2,1,0,1
275,15764ad439feafda6f35578b7f6253df,task6-1,5,3,2
276,15764ad439feafda6f35578b7f6253df,task6-2,0,0,0
277,42387deceb25d7486993e2a2d58e14ea,task1-1,1,1,0
278,42387deceb25d7486993e2a2d58e14ea,task1-2,0,0,0
279,42387deceb25d7486993e2a2d58e14ea,task2-1,3,2,1
280,42387deceb25d7486993e2a2d58e14ea,task2-2,0,0,0
281,42387deceb25d7486993e2a2d58e14ea,task3-1,1,0,1
282,42387deceb25d7486993e2a2d58e14ea,task3-2,0,0,0
283,42387deceb25d7486993e2a2d58e14ea,task7-1,1,1,0
284,42387deceb25d7486993e2a2d58e14ea,task7-2,0,0,0
285,27570bb3cfcc304aeede0cdf6c2e2762,task1-1,6,4,2
286,27570bb3cfcc304aeede0cdf6c2e2762,task1-2,0,0,0
287,27570bb3cfcc304aeede0cdf6c2e2762,task2-1,8,4,4
288,27570bb3cfcc304aeede0cdf6c2e2762,task2-2,0,0,0
289,27570bb3cfcc304aeede0cdf6c2e2762,task3-1,12,2,10
290,27570bb3cfcc304aeede0cdf6c2e2762,task3-2,0,0,0
291,27570bb3cfcc304aeede0cdf6c2e2762,task6-1,10,3,7
292,27570bb3cfcc304aeede0cdf6c2e2762,task6-2,0,0,0
293,203a872af9b348b6ae1c59fbacd59e72,task1-1,6,3,3
294,203a872af9b348b6ae1c59fbacd59e72,task1-2,0,0,0
295,203a872af9b348b6ae1c59fbacd59e72,task2-1,4,3,1
296,203a872af9b348b6ae1c59fbacd59e72,task2-2,0,0,0
297,203a872af9b348b6ae1c59fbacd59e72,task3-1,1,0,1
298,203a872af9b348b6ae1c59fbacd59e72,task3-2,0,0,0
299,203a872af9b348b6ae1c59fbacd59e72,task4-1,8,1,7
300,203a872af9b348b6ae1c59fbacd59e72,task4-2,0,0,0
301,0e4f69ae91114adaaf29c8ce2c981057,task1-1,8,7,1
302,0e4f69ae91114adaaf29c8ce2c981057,task1-2,0,0,0
303,0e4f69ae91114adaaf29c8ce2c981057,task2-1,5,4,1
304,0e4f69ae91114adaaf29c8ce2c981057,task2-2,0,0,0
305,0e4f69ae91114adaaf29c8ce2c981057,task3-1,3,3,0
306,0e4f69ae91114adaaf29c8ce2c981057,task3-2,0,0,0
307,0e4f69ae91114adaaf29c8ce2c981057,task6-1,1,1,0
308,0e4f69ae91114adaaf29c8ce2c981057,task6-2,0,0,0
309,32a93c18dfe238311ad0b9add6a071d6,task1-1,0,0,0
310,32a93c18dfe238311ad0b9add6a071d6,task1-2,3,1,2
311,32a93c18dfe238311ad0b9add6a071d6,task2-1,0,0,0
312,32a93c18dfe238311ad0b9add6a071d6,task2-2,1,1,0
313,32a93c18dfe238311ad0b9add6a071d6,task6-1,0,0,0
314,32a93c18dfe238311ad0b9add6a071d6,task6-2,1,0,1
315,32a93c18dfe238311ad0b9add6a071d6,task7-1,0,0,0
316,32a93c18dfe238311ad0b9add6a071d6,task7-2,2,0,2
317,0a13493c5f0f9f75a9fa6a576a14984b,task1-1,0,0,0
318,0a13493c5f0f9f75a9fa6a576a14984b,task1-2,5,2,3
319,0a13493c5f0f9f75a9fa6a576a14984b,task2-1,0,0,0
320,0a13493c5f0f9f75a9fa6a576a14984b,task2-2,5,1,4
321,0a13493c5f0f9f75a9fa6a576a14984b,task3-1,0,0,0
322,0a13493c5f0f9f75a9fa6a576a14984b,task3-2,2,1,1
323,0a13493c5f0f9f75a9fa6a576a14984b,task7-1,0,0,0
324,0a13493c5f0f9f75a9fa6a576a14984b,task7-2,0,0,0
325,0bd31633162f7a836160dd5b6359d29b,task1-1,0,0,0
326,0bd31633162f7a836160dd5b6359d29b,task1-2,6,5,1
327,0bd31633162f7a836160dd5b6359d29b,task2-1,4,3,1
328,918b4fee5149d0049e5d3faf688f31c3,task1-1,0,0,0
329,918b4fee5149d0049e5d3faf688f31c3,task1-2,0,0,0
